"phrase","n"
"ta<U+1E41> chaya phara",3
"ta<U+1E41> janamano sama<U+1E47>o garaheyya",3
"ta<U+1E41> mamassa musa",3
"ta<U+1E41> me",3
"ta<U+1E41> no arocessati",3
"ta<U+1E41> pajahami",3
"ta<U+1E41> sama<U+1E47>o gotamo jana<U+1E41> uddissakata<U+1E41> ma<U+1E41>sa<U+1E41> paribhuñja",3
"ta<U+1E41> sañjana",3
"ta<U+1E41> tva<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja viharasi",3
"ta<U+1E41> vaca<U+1E41> appahaya ta<U+1E41> citta<U+1E41> appahaya ta<U+1E41> di<U+1E6D><U+1E6D>hi<U+1E41> appa<U+1E6D>inissajjitva yathabhata<U+1E41> nikkhitto eva<U+1E41> niraye",3
"ta<U+1E41>passa tadisameva",3
"ta<U+1E41>passa tadisameva",3
"ta<U+1E41>yevettha pa<U+1E6D>ipucchissami",3
"ta<U+1E47>hapaccaya upadana<U+1E41>",3
"tadaharanirodha ya<U+1E41> bhuta<U+1E41>",3
"tamaha<U+1E41> janami passami",3
"tamanugacchanto passa",3
"tamena<U+1E41> gahapa",3
"tamena<U+1E41> hatthidamako uttari kara<U+1E47>a<U+1E41> kare",3
"tamena<U+1E41> jano disva eva<U+1E41> vadeyya",3
"tamena<U+1E41> raja eva<U+1E41> vadeyya",3
"tamena<U+1E41> so nibbe<U+1E6D>henta<U+1E41> a",3
"tamevupekkha<U+1E41> bhave",3
"tañca kho bhavantarupana<U+1E41> va adassana",3
"tañca pana araka udaka thale nikkhittan",3
"tañca puggala<U+1E41> mettasahagatena cetasa pharitva viharissama",3
"tañca va<U+1E47><U+1E47>a<U+1E41> na paññapesi",3
"tañca va<U+1E47><U+1E47>a<U+1E41> na paññapesi",3
"tañhi tassa balava<U+1E41> bandhana<U+1E41>",3
"tañhi te",3
"tani palitani sadhuka<U+1E41> sa<U+1E47><U+1E0D>asena uddharitva mama añjalismi<U+1E41> pa",3
"tani yava cagga yava ca mula sitena varina abhisannani parisannani paripurani paripphu<U+1E6D>ani",3
"tasa<U+1E41> peta<U+1E41> pada<U+1E41> assa",3
"tasma te bhonto sama<U+1E47>abrahma<U+1E47>a sabbupadanapariññavada pa<U+1E6D>ijanamana",3
"tassa kala<U+1E45>kiriyaya neva kammanta pa<U+1E6D>ibhan",3
"tassa na eva<U+1E41> ho",3
"tassa sighena javena dhavato chavimpi <U+1E0D>ayha",3
"tassa so bhisakko sallakatto satthena va<U+1E47>amukha<U+1E41> parikanteyya",3
"tassa tamha nimitta añña<U+1E41> nimitta<U+1E41> manasikaroto kusalupasa<U+1E41>hita<U+1E41> ye papaka akusala vitakka chandupasa<U+1E41>hitapi dosupasa<U+1E41>hitapi mohupasa<U+1E41>hitapi te pahiyan",3
"tassa te maya<U+1E41> dibba<U+1E41> oja<U+1E41> lomakupehi ajjhoharessama",3
"tatha na<U+1E41> dharessama",3
"tatha na<U+1E41> dhareyyatha",3
"tathagatassa bodhi<U+1E41>",3
"tathagatassa ye asava sa<U+1E45>kilesika ponobbhavika sadara dukkhavipaka aya",3
"tathagatasseta<U+1E41> adhivacana<U+1E41> arahato sammasambuddhassa",3
"tathagato eva<U+1E41> byakareyya",3
"tatharupi<U+1E41> vaca<U+1E41> bhasita ho",3
"tatra kho ayasma sariputto bhikkhu amantesi",3
"tatra suda<U+1E41> bhagava savatthiya<U+1E41> vihara",3
"tatrasaya<U+1E41> kappetva amu<U+1E41> nivapa<U+1E41> nivutta<U+1E41> marassa amuni ca lokamisani ananupakhajja amucchita bhojanani bhuñji<U+1E41>su",3
"tatrasaya<U+1E41> kappetva amu<U+1E41> nivapa<U+1E41> nivutta<U+1E41> marassa amuni ca lokamisani ananupakhajja amucchita bhojanani bhuñjissama",3
"tatrasaya<U+1E41> kappetva amu<U+1E41> nivapa<U+1E41> nivutta<U+1E41> nevapikassa ananupakhajja amucchita bhojanani bhuñji<U+1E41>su",3
"tatrasaya<U+1E41> kappetva amu<U+1E41> nivapa<U+1E41> nivutta<U+1E41> nevapikassa ananupakhajja amucchita bhojanani bhuñjissama",3
"tatrida<U+1E41> sutta<U+1E41> avuta<U+1E41> nila<U+1E41> va pita<U+1E41> va lohita<U+1E41> va odata<U+1E41> va pa<U+1E47><U+1E0D>usutta<U+1E41> va",3
"tattenapi telena osiñcan",3
"tattha viññu puriso i",3
"tattheva nisidi<U+1E41>",3
"tava parisuddho chaviva<U+1E47><U+1E47>o pariyodato upahato ho",3
"taya ca pana asaddhammasaññat",3
"taya ca pana saddhammasaññat",3
"taya caha<U+1E41> yapeyya<U+1E41>",3
"taya ra",3
"taya tva<U+1E41> yapessasi",3
"tayo sa",3
"te amu<U+1E41> nivapa<U+1E41> nivutta<U+1E41> mahatihi da<U+1E47><U+1E0D>avakarahi samanta sappadesa<U+1E41> anuparivaresu<U+1E41>",3
"te bhindanta maññe caran",3
"te bhoto pasa<U+1E41>sa",3
"te khi<U+1E47>asavassa bhikkhuno pahina ucchinnamula talavatthukata anabhava<U+1E45>kata aya",3
"te maya<U+1E41> ki<U+1E41> sandi<U+1E6D><U+1E6D>hika<U+1E41> hitva kalika<U+1E41> anudhavissama",3
"te maya<U+1E41> sayañceva bhuñjamana pato ca diva ca vikale appabadhatañca sañjanama appata<U+1E45>katañca lahu<U+1E6D><U+1E6D>hanañca balañca phasuviharañca",3
"te sabbaso nivapabhojana lokamisa pa<U+1E6D>ivirami<U+1E41>su",3
"te tañceva nappajahan",3
"te tañceva pajahan",3
"te tasmi<U+1E41> rupe vaso",3
"tejodhatu siya ajjhat",3
"tejodhatuya citta<U+1E41> viraje",3
"tena bhagavata janata passata arahata sammasambuddhena du",3
"tena bhagavata janata passata arahata sammasambuddhena ekadhammo akkhato",3
"tena bhagavata janata passata arahata sammasambuddhena ta",3
"tena ca sakka aggina aggikara<U+1E47>iya<U+1E41> katu<U+1E41>",3
"tena kho pana",3
"tena kho pana ma<U+1E41>",3
"tena saccena sotthi te hotu",3
"tena samagami<U+1E41>",3
"tena ta bhikkhuniyo kupita anattamana adhikara<U+1E47>ampi karon",3
"tena upapajja",3
"teneva dhammaragena taya dhammanandiya pañcanna<U+1E41> orambhagiyana<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya opapa",3
"teneva tva<U+1E41>",3
"tepi ma<U+1E41> janissan",3
"tesa<U+1E41> ta<U+1E41> bhavissa",3
"tesa<U+1E41>yeva asava<U+1E6D><U+1E6D>haniyana<U+1E41> dhammana<U+1E41> pa<U+1E6D>ighataya",3
"tesañca vo",3
"thamava da<U+1E37>haparakkamo anikkhittadhuro kusalesu dhammesu",3
"thambho cittassa upakkileso",3
"thina<U+1E41> hetu adhammacari visamacari assa",3
"thoka<U+1E41> na",3
"todeyyana<U+1E41> brahma<U+1E47>ana<U+1E41> ambavane",3
"ttha<U+1E41> rama<U+1E47>iya<U+1E41>",3
"tthiya paribbajaka eva<U+1E41> puccheyyu<U+1E41>",3
"tthiya paribbajaka eva<U+1E41> vadeyyu<U+1E41>",3
"tthiyana<U+1E41> savake ava<U+1E6D><U+1E6D>eti",3
"tthiyapubbo imasmi<U+1E41> dhammavinaye aka<U+1E45>kha",3
"tumhe bhikkhu silavante kalya<U+1E47>adhamme akkosatha paribhasatha rosetha vihesetha",3
"tumhe bhikkhu silavante kalya<U+1E47>adhamme sakkarotha garu<U+1E41> karotha manetha pujetha",3
"tva<U+1E41> va",3
"ubbha<U+1E6D><U+1E6D>hakopi ho",3
"ubbhata<U+1E41> tadisameva ho",3
"ubhopi nasikasotani anumasi pa<U+1E6D>imasi",3
"ucca ca nisevita<U+1E41>",3
"ucchinnamulo talavatthukato anabhava<U+1E45>kato aya",3
"udako ramaputto sabrahmacari me samano acariya<U+1E6D><U+1E6D>hane ma<U+1E41> <U+1E6D>hapesi",3
"uddissa pabbajito",3
"uju<U+1E41> karo",3
"ukkasitasaddo va",3
"ukku<U+1E6D>ikopi ho",3
"ulukapakkhampi dhare",3
"upadanaya san",3
"upama ma<U+1E41>",3
"upanaho cittassa upakkileso",3
"upanidhampi na upe",3
"upanitehi vacanappathehi samudacariyamanassa",3
"upapannamena<U+1E41> phassa phusan",3
"uparipabbate <U+1E6D>hito aramarama<U+1E47>eyyaka<U+1E41> vanarama<U+1E47>eyyaka<U+1E41> bhumirama<U+1E47>eyyaka<U+1E41> pokkhara<U+1E47>irama<U+1E47>eyyakan",3
"upasa<U+1E45>kamitva ayasmanta<U+1E41> ananda<U+1E41> abhivadetva ekamanta<U+1E41> a<U+1E6D><U+1E6D>hasi",3
"upasa<U+1E45>kamitva ayasmanta<U+1E41> mahakaccana<U+1E41> etamattha<U+1E41> pa<U+1E6D>ipucchimha",3
"upasa<U+1E45>kamitva ayasmata mahakaccanena saddhi<U+1E41> sammodi<U+1E41>su",3
"upasa<U+1E45>kamitva ayasmata sariputtena saddhi<U+1E41> sammodi",3
"upasa<U+1E45>kamitva bhagavanta<U+1E41> abhivadetva ekamanta<U+1E41> a<U+1E6D><U+1E6D>ha<U+1E41>su",3
"upasa<U+1E45>kamitva niga<U+1E47><U+1E6D>ha<U+1E41> na<U+1E6D>aputta<U+1E41> etadavoca",3
"upasa<U+1E45>kamitva sa",3
"upasa<U+1E45>kamitva upali<U+1E41> gahapa",3
"upasaka ca gihi odatavasana brahmacarino aradhaka abhavissa<U+1E41>su",3
"upasaka ca gihi odatavasana kamabhogino aradhaka",3
"upasake no bhava<U+1E41> gotamo dharetu ajjatagge pa<U+1E47>upete sara<U+1E47>a<U+1E41> gate",3
"upasako su<U+1E47>a",3
"upasika su<U+1E47>a",3
"upasikaya phasuviharo ho",3
"upekkha kusalanissita na sa<U+1E47><U+1E6D>hati",3
"upekkha nanatta nanattasita",3
"uppannana<U+1E41> kusalana<U+1E41> dhammana<U+1E41> <U+1E6D>hi",3
"uppannana<U+1E41> papakana<U+1E41> akusalana<U+1E41> dhammana<U+1E41> pahanaya chanda<U+1E41> jane",3
"uppannana<U+1E41> saririkana<U+1E41> vedanana<U+1E41> dukkhana<U+1E41>",3
"usma ayu<U+1E41> pa<U+1E6D>icca",3
"ussadanañca jañña",3
"ussadanañca ñatva apasadanañca ñatva nevussadeyya",3
"uttarañcepi ga<U+1E45>gaya tira<U+1E41> gaccheyya dadanto dapento",3
"uttarikara<U+1E47>iye hine brahmaloke pa",3
"va dhuvan",3
"va kammakara",3
"va pessa",3
"va sassatan",3
"va<U+1E37>akambalampi dhare",3
"vacisamacara<U+1E41> sevato akusala dhamma abhiva<U+1E0D><U+1E0D>han",3
"vacisamacara<U+1E41> sevato akusala dhamma parihayan",3
"vada<U+1E41> ittheke apasade",3
"vada<U+1E41> ittheke ussade",3
"vadami no visa<U+1E41>yutto",3
"vakacirampi dhare",3
"vanakammika va uddhareyyu<U+1E41>",3
"vanamulaphalaharo yape",3
"varapada<U+1E41> pariyesamano magadhesu anupubbena carika<U+1E41> caramano yena uruvela senanigamo tadavasari<U+1E41>",3
"vassasahassani imasmi<U+1E41>yeva maghadevaambavane agarasma anagariya<U+1E41> pabbajito brahmacariyamacari",3
"vassasahassani kumaraki<U+1E37>ita<U+1E41> ki<U+1E37>i",3
"vassasahassani oparajja<U+1E41> karesi",3
"vassasahassani rajja<U+1E41> karesi",3
"vayadhammanupassi va kayasmi<U+1E41> vihara",3
"vayodhatu siya ajjhat",3
"vayodhatuya citta<U+1E41> viraje",3
"vedana anicca sa<U+1E45>khata pa<U+1E6D>iccasamuppanna khayadhamma vayadhamma viragadhamma nirodhadhamma",3
"vedana<U+1E41> eta<U+1E41> mama",3
"vedana<U+1E41> neta<U+1E41> mama",3
"vedanaya ki<U+1E41> pa<U+1E6D>ibhago",3
"vedanaya nibbinda",3
"vedehika gahapatani ka<U+1E37>i<U+1E41> dasi<U+1E41> etadavoca",3
"vettehipi ta<U+1E37>en",3
"vibhajatayasma mahakaccano",3
"vidha<U+1E41> manasa adhammacari visamacari ho",3
"vidha<U+1E41> manasa adhammacariyavisamacariya ho",3
"vidha<U+1E41> manasa dhammacari samacari ho",3
"vidha<U+1E41> manasa dhammacariyasamacariya ho",3
"viditva nirupadhi upadhisa<U+1E45>khaye vimutto upadhismi<U+1E41> va kaya<U+1E41> upasa<U+1E41>harissa",3
"viggahe sa",3
"vighate sa",3
"viharo tveva so arahato evarupo hoti",3
"vihi<U+1E41>sakassa purisapuggalassa avihi<U+1E41>sa ho",3
"vima<U+1E41>sanucarita<U+1E41> sayampa<U+1E6D>ibhana<U+1E41>",3
"vimocaya<U+1E41> citta<U+1E41> assasissami",3
"vimocaya<U+1E41> citta<U+1E41> passasissami",3
"viñña<U+1E47>apaccaya namarupa<U+1E41>",3
"viñña<U+1E47>asmi<U+1E41> va attana<U+1E41>",3
"viñña<U+1E47>assa attha<U+1E45>gamo",3
"vippasannani kho te",3
"viraganupassi assasissami",3
"viraganupassi passasissami",3
"viraganupassi vihara",3
"viraganupassi viharanto",3
"visa<U+1E41>yutto na<U+1E41> vede",3
"vitaragatta kame na seva",3
"vivade sa",3
"viya aññehi manussehi",3
"vokkamma ca satthusasana vattan",3
"vutta<U+1E41> kho paneta<U+1E41> bhagavata",3
"ya <U+1E6D>hi",3
"ya bhavan",3
"ya brahmacariyanuggahaya",3
"ya ca aneñjasañña",3
"ya ca mahaggata cetovimut",3
"ya kho me aya<U+1E41> di<U+1E6D><U+1E6D>hi",3
"ya na",3
"ya ramamano hinassa na pihemi",3
"ya vassehi ka",3
"ya yapanaya",3
"ya yape",3
"ya<U+1E41> ajjhatta<U+1E41> paccatta<U+1E41> tejo tejogata<U+1E41> upadinna<U+1E41>",3
"ya<U+1E41> ajjhatta<U+1E41> paccatta<U+1E41> vayo vayogata<U+1E41> upadinna<U+1E41>",3
"ya<U+1E41> añña",3
"ya<U+1E41> atapo jaha",3
"ya<U+1E41> chaya jaha",3
"ya<U+1E41> evarupa<U+1E41> domanassa<U+1E41> ida<U+1E41> vucca",3
"ya<U+1E41> hissa",3
"ya<U+1E41> karo",3
"ya<U+1E41> kho pana ayamayasma dhamma<U+1E41> dese",3
"ya<U+1E41> kho sama<U+1E47>o gotamo dhamma<U+1E41> adhigamissa",3
"ya<U+1E41> no bhagava dhamma<U+1E41> bhasissa",3
"ya<U+1E41> sañjana",3
"ya<U+1E41> ta<U+1E41> parassa paravittupakara<U+1E47>a<U+1E41> ta<U+1E41> nabhijjhata ho",3
"ya<U+1E41> ta<U+1E41> vutta<U+1E41> idameta<U+1E41> pa<U+1E6D>icca vuttan",3
"ya<U+1E41> ta<U+1E41>sa<U+1E41>vattanika<U+1E41> viñña<U+1E47>a<U+1E41> assa akiñcaññayatanupaga<U+1E41>",3
"ya<U+1E41> ta<U+1E41>sa<U+1E41>vattanika<U+1E41> viñña<U+1E47>a<U+1E41> assa aneñjupaga<U+1E41>",3
"ya<U+1E41> tva<U+1E41> dhamma<U+1E41> janasi ta<U+1E41> dhamma<U+1E41> ramo abhiññasi",3
"ya<U+1E41> tva<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja viharasi",3
"ya<U+1E41> tva<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja viharasi tamaha<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja pavedemi",3
"ya<U+1E41> tva<U+1E41> maya sikkhapade paññapiyamane bhikkhusa<U+1E45>ghe sikkha<U+1E41> samadiyamane anussaha<U+1E41> pavedesi",3
"ya<U+1E41> va panaññampi kiñci ajjhatta<U+1E41> paccatta<U+1E41> apo apogata<U+1E41> upadinna<U+1E41>",3
"ya<U+1E41> va panaññampi kiñci ajjhatta<U+1E41> paccatta<U+1E41> kakkha<U+1E37>a<U+1E41> kharigata<U+1E41> upadinna<U+1E41>",3
"ya<U+1E41> va panaññampi kiñci ajjhatta<U+1E41> paccatta<U+1E41> tejo tejogata<U+1E41> upadinna<U+1E41>",3
"ya<U+1E41> va panaññampi kiñci ajjhatta<U+1E41> paccatta<U+1E41> vayo vayogata<U+1E41> upadinna<U+1E41>",3
"yada me",3
"yada tvampi passeyyasi sirasmi<U+1E41> palitani jatani",3
"yadeva tva<U+1E41>",3
"yadida<U+1E41> citta<U+1E41> avera<U+1E41> abyabajjha<U+1E41> tassa bhavanaya",3
"yadida<U+1E41> manussa",3
"yadida<U+1E41> pasavo",3
"yadiso aha<U+1E41> tadiso tuva<U+1E41>",3
"yaha<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja pavedemi ta<U+1E41> tva<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja viharasi",3
"yajanto yajapento",3
"yakampi udakorohananuyogamanuyutto vihara",3
"yamahasalana<U+1E41> sahabyata<U+1E41> upapajjeyyan",3
"yamida<U+1E41> dhammasamadana<U+1E41> paccuppannadukkha<U+1E41> aya",3
"yamida<U+1E41> dhammasamadana<U+1E41> paccuppannadukkhañceva aya",3
"yamida<U+1E41> dhammasamadana<U+1E41> paccuppannasukha<U+1E41> aya",3
"yamida<U+1E41> kayasucarita<U+1E41>",3
"yampi kho ra<U+1E6D><U+1E6D>hapalo kulaputto tu<U+1E47>hi ahosi",3
"yampi ta<U+1E41> di<U+1E6D><U+1E6D>hi<U+1E6D><U+1E6D>hana<U+1E41>",3
"yana<U+1E41> digharatta<U+1E41> hitaya sukhaya",3
"yañca di<U+1E6D><U+1E6D>heva dhamme viññuna<U+1E41> garayho",3
"yañca di<U+1E6D><U+1E6D>heva dhamme viññuna<U+1E41> pasa<U+1E41>so",3
"yañca kayassa bheda para<U+1E41> mara<U+1E47>a apaya<U+1E41> dugga",3
"yañca kayassa bheda para<U+1E41> mara<U+1E47>a suga",3
"yañcassa sarena sarakara<U+1E47>iya<U+1E41> tañcassa attha<U+1E41> nanubhavissa",3
"yannuna maya<U+1E41> ima<U+1E41> nivapa<U+1E41> nivutta<U+1E41> mahatihi da<U+1E47><U+1E0D>avakarahi samanta sappadesa<U+1E41> anuparivareyyama",3
"yannuna maya<U+1E41> sabbaso nivapabhojana lokamisa pa<U+1E6D>ivirameyyama",3
"yannunaha<U+1E41> o<U+1E37>arika<U+1E41> ahara<U+1E41> ahareyya<U+1E41> odanakummasan",3
"yannunaha<U+1E41> sabbaso aharupacchedaya pa<U+1E6D>ipajjeyyan",3
"yapa<U+1E47><U+1E0D>itapi brahma<U+1E47>apa<U+1E47><U+1E0D>itapi gahapa",3
"yapi khat",3
"yassa hi so",3
"yassa me eva<U+1E41> buddha<U+1E41> anussarato",3
"yassa me kassapo bhagava araha<U+1E41> sammasambuddho eva<U+1E41> abhivissattho",3
"yassa no sugato pa<U+1E6D>inissaggamaha",3
"yassa paricariya<U+1E41> paññapen",3
"yassa sandhana<U+1E41> paññapen",3
"yassadani kala<U+1E41> maññasi",3
"yatha katha<U+1E41> pana te",3
"yatha katha<U+1E41> panaha<U+1E41>",3
"yatha no bhagava byakareyya tatha na<U+1E41> dhareyyama",3
"yatha ta<U+1E41> akaritapubba<U+1E41> kara<U+1E47>a<U+1E41> kariyamanassa",3
"yatha vo bhagava byakareyya tatha na<U+1E41> dhareyyatha",3
"yatha vo bhagava byakaro",3
"yathabhuta<U+1E41> sammappaññaya passato ya vicikiccha sa pahiyati",3
"yathabhuta<U+1E41> sammappaññaya sudi<U+1E6D><U+1E6D>han",3
"yato kho maya<U+1E41>",3
"yato kho tva<U+1E41>",3
"yattha <U+1E6D>hita<U+1E41> maññassava nappavattan",3
"yattha bhikkhuno appamattassa atapino pahitattassa viharato avimuttañceva citta<U+1E41> vimucca",3
"yattha tathagato vihara",3
"yatvadhikara<U+1E47>amena<U+1E41> cakkhundriya<U+1E41> asa<U+1E41>vuta<U+1E41> viharanta<U+1E41> abhijjhadomanassa papaka akusala dhamma anvassaveyyu<U+1E41>",3
"yatvadhikara<U+1E47>amena<U+1E41> manindriya<U+1E41> asa<U+1E41>vuta<U+1E41> viharanta<U+1E41> abhijjhadomanassa papaka akusala dhamma anvassaveyyu<U+1E41>",3
"yavata kho",3
"yaya añña",3
"ye ca bhikkhu sikkhakama te ta<U+1E41> pahaya appossukka pannaloma paradattavutta migabhutena cetasa viharan",3
"ye ca bhikkhu sikkhakama tesa<U+1E41> ta<U+1E41>",3
"ye hi keci sama<U+1E47>a va brahma<U+1E47>a va kayena ceva cittena ca kamehi avupaka<U+1E6D><U+1E6D>ha viharan",3
"ye kho keci atitamaddhana<U+1E41> sama<U+1E47>a va brahma<U+1E47>a va opakkamika dukkha",3
"ye pana te bhonto sama<U+1E47>abrahma<U+1E47>a eva<U+1E41>vadino eva<U+1E41>di<U+1E6D><U+1E6D>hino",3
"yehi so",3
"yehi vivadan",3
"yena bhagava tenupasa<U+1E45>kamissama",3
"yena ca asitapitakhayitasayita<U+1E41> samma pari<U+1E47>ama<U+1E41> gaccha",3
"yena ca jiriya",3
"yena ca pari<U+1E0D>ayha",3
"yena ca santappa",3
"yenayasma mahakaccano tenupasa<U+1E45>kamimha",3
"yepi hi keci anagatamaddhana<U+1E41> sama<U+1E47>a va brahma<U+1E47>a va opakkamika dukkha",3
"yepi hi keci etarahi sama<U+1E47>a va brahma<U+1E47>a va opakkamika dukkha",3
"yepi te brahma<U+1E47>ana<U+1E41> pubbaka isayo mantana<U+1E41> kattaro mantana<U+1E41> pavattaro yesamida<U+1E41> etarahi brahma<U+1E47>a pora<U+1E47>a<U+1E41> mantapada<U+1E41> gita<U+1E41> pavutta<U+1E41> samihita<U+1E41> tadanugayan",3
"yesa<U+1E41> bhavitatta bahulikatatta bhikkhu asavana<U+1E41> khaya anasava<U+1E41> cetovimut",3
"yesa<U+1E41> nimi raja dhammiko dhammaraja dhamme <U+1E6D>hito maharaja",3
"yeva visukayitani visevitani vipphanditani kanici kanici",3
"yo va brahma<U+1E47>o va vesso va suddo va",3
"yo va panettha dhammo",3
"yoggacariyana<U+1E41> anuttaro purisadammasarathi",3
"yoha<U+1E41> bhagavata sikkhapade paññapiyamane bhikkhusa<U+1E45>ghe sikkha<U+1E41> samadiyamane anussaha<U+1E41> pavedesi<U+1E41>",3
"<U+1E0D>a<U+1E41>samakasavatatapasarisapasamphassana<U+1E41> pa<U+1E6D>ighataya",2
"<U+1E41> abhasi",2
"<U+1E41> anavassavaya pa<U+1E6D>ipajjeyyatha",2
"<U+1E41> anavassavo ho",2
"<U+1E41> anuppadadhamma<U+1E41>",2
"<U+1E41> apajjati",2
"<U+1E41> bhagava etadavoca",2
"<U+1E41> bhasita",2
"<U+1E41> bhavehi",2
"<U+1E41> bhikkhu<U+1E41> keva<U+1E6D><U+1E6D>aputta<U+1E41> etadavoca",2
"<U+1E41> bhikkhu<U+1E41> keva<U+1E6D><U+1E6D>aputta<U+1E41> etasma papaka di<U+1E6D><U+1E6D>higata vivecetu<U+1E41>",2
"<U+1E41> dhumaya",2
"<U+1E41> dhumayana",2
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja viharan",2
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja viharanta<U+1E41>",2
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja viharanti",2
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja vihareyya",2
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja viharissati",2
"<U+1E41> dukkhavipakan",2
"<U+1E41> gathaya paccabhasi<U+1E41>",2
"<U+1E41> karissami",2
"<U+1E41> nabhiniveseyya",2
"<U+1E41> nisajjaya vi",2
"<U+1E41> pajapa",2
"<U+1E41> pañcupadanakkhandha apacaya<U+1E41> gacchan",2
"<U+1E41> pañcupadanakkhandha upacaya<U+1E41> gacchan",2
"<U+1E41> paribhuñjan",2
"<U+1E41> paripuren",2
"<U+1E41> pecca gacchami",2
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapajjati",2
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapajjeyya no va",2
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapajjissati",2
"<U+1E41> samanumajjitva yatha tattha same",2
"<U+1E41> samapanno na kiñci vediyati",2
"<U+1E41> sukhavipakan",2
"<U+1E41> upa<U+1E6D><U+1E6D>hape",2
"<U+1E41> upasa<U+1E45>kamitva evamaha",2
"<U+1E41> upasampajja vihara",2
"<U+1E41> upasampajja viharami",2
"<U+1E41> upasampajja viharissa",2
"<U+1E41> va gahapa",2
"<U+1E41> vadami yaya<U+1E41> pi",2
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajjati",2
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajjeyya no va",2
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajjissati",2
"<U+1E41> yathabhuta<U+1E41> nappajana",2
"<U+1E41>sa dassanakama",2
"<U+1E41>sa rajodhatuyo",2
"<U+1E41>sa sudhammaya<U+1E41> sabhaya<U+1E41> kittayamanarupa sannisinna",2
"<U+1E41>sampi bhikkhu ovadan",2
"<U+1E41>sana<U+1E41> bhaddekarattassa uddesañca vibha<U+1E45>gañca abhasi",2
"<U+1E41>se nirayasate",2
"<U+1E41>sesu paturahosi",2
"<U+1E41>sesu vihara",2
"<U+1E47><U+1E47>a dukkhapareta te ma<U+1E41> upasa<U+1E45>kamitva dukkha<U+1E41> ariyasacca<U+1E41> pucchan",2
"<U+1E47><U+1E47>a<U+1E41> janatamapetasoko",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya ragadosamohana<U+1E41> tanutta sakadagami sakideva ima<U+1E41> loka<U+1E41> agantva dukkhassanta<U+1E41> karissati",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya ragadosamohana<U+1E41> tanutta sakadagamini sakideva ima<U+1E41> loka<U+1E41> agantva dukkhassanta<U+1E41> karissati",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya ragadosamohana<U+1E41> tanutta sakadagamino sakideva ima<U+1E41> loka<U+1E41> agantva dukkhassanta<U+1E41> karissan",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya sotapanna avinipatadhamma niyata sambodhiparaya<U+1E47>a",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya sotapanna avinipatadhamma niyata sambodhiparayana",2
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya sotapanno avinipatadhammo niyato sambodhiparaya<U+1E47>o",2
"<U+1E47><U+1E47>assa para<U+1E45>gatassa evamassa",2
"<U+1E47><U+1E47>avicikiccha vigatakatha<U+1E45>katha vesarajjappatta aparappaccaya satthusasane viharanti",2
"<U+1E47><U+1E47>avicikicchata ho",2
"<U+1E47>aggitveva sa<U+1E45>khya<U+1E41> gaccha",2
"<U+1E47>aka<U+1E6D><U+1E6D>hasakhapalasa<U+1E41> sa<U+1E45>ka<U+1E0D><U+1E0D>hitva",2
"<U+1E47>avanappatisu adhivattha devata maluvabije anagatabhaya<U+1E41> sampassamana sa<U+1E45>gamma samagamma eva<U+1E41> samassasesu<U+1E41>",2
"<U+1E47>avattharakena deseyya<U+1E41>",2
"<U+1E47>avattharako ho",2
"<U+1E47>ha<U+1E41> govikantanan",2
"<U+1E47>hena satthena jivita voropessan",2
"<U+1E47>hena satthena sisa<U+1E41> chinda",2
"<U+1E47>odakasa<U+1E45>khaye adhimattakasimana<U+1E41> patto kayo ho",2
